Source revision: e3bef5730c0296ced3e1aaf2a4f1905685847e4d
Exit code: 0
{'total': '104', 'executed': '104', 'passed': '104', 'failed': '0', 'error': '0', 'timeout': '0', 'aborted': '0', 'inconclusive': '0', 'passedButRunAborted': '0', 'notRunnable': '0', 'notExecuted': '0', 'disconnected': '0', 'warning': '0', 'completed': '0', 'inProgress': '0', 'pending': '0'}

Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_carries_the_operation_envelope_onto_the_observation
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_never_reports_a_lag_verdict_with_a_missing_quantile(exceeded)
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_never_reports_a_lag_verdict_with_a_missing_quantile(malformed)
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_never_reports_a_lag_verdict_with_a_missing_quantile(metricsAbsent)
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_never_reports_a_lag_verdict_with_a_missing_quantile(negative)
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_never_reports_a_lag_verdict_with_a_missing_quantile(outOfOrder)
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_never_reports_a_lag_verdict_with_a_missing_quantile(unavailable)
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_never_reports_a_lag_verdict_with_a_missing_quantile(withinThreshold)
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_never_reports_a_lag_verdict_with_a_missing_quantile(zero)
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_propagates_caller_cancellation_rather_than_reporting_an_unreachable_bridge
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reads_a_flat_attribute_map_from_a_bridge_that_resolved_a_single_mbean
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reads_the_bridge_the_deployment_configured_rather_than_the_connect_host
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reads_the_current_value_and_every_quantile_in_one_bridge_call
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reads_the_sql_server_metrics_domain_for_a_sql_server_binding
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_rejects_a_blank_topic_prefix
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_rejects_a_missing_reading
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_a_bridge_failure_status_as_unavailable(InternalServerError)
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_a_bridge_failure_status_as_unavailable(NotFound)
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_a_bridge_failure_status_as_unavailable(Unauthorized)
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_a_bridge_that_never_answers_as_unavailable
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_a_negative_sentinel_as_metrics_absent
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_a_non_success_jolokia_status_as_unavailable
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_a_partial_quantile_set_as_metrics_absent("MilliSecondsBehindSource")
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_a_partial_quantile_set_as_metrics_absent("MilliSecondsBehindSourceP50")
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_a_partial_quantile_set_as_metrics_absent("MilliSecondsBehindSourceP95")
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_a_partial_quantile_set_as_metrics_absent("MilliSecondsBehindSourceP99")
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_a_pattern_that_matched_nothing_as_metrics_absent
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_a_reading_whose_quantiles_are_out_of_order_as_unknown
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_a_reading_with_a_negative_value_as_unknown
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_a_successful_outcome_that_carries_no_reading_as_unknown
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_absent_evidence_as_unknown_with_null_values(MalformedResponse,"connectorLagMalformedResponse")
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_absent_evidence_as_unknown_with_null_values(MetricsAbsent,"connectorLagMetricsAbsent")
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_absent_evidence_as_unknown_with_null_values(Unavailable,"connectorLagUnavailable")
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_an_absent_mbean_as_metrics_absent
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_an_undocumented_body_as_a_malformed_response("")
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_an_undocumented_body_as_a_malformed_response("[]")
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_an_undocumented_body_as_a_malformed_response("{ this is not json")
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcConnectorLagObservationMapping | It_reports_an_undocumented_body_as_a_malformed_response("{\"status\":200}")
