history-registration.trx
Counters: total=29, executed=29, passed=29, failed=0, error=0, timeout=0, aborted=0, inconclusive=0, passedButRunAborted=0, notRunnable=0, notExecuted=0, disconnected=0, warning=0, completed=0, inProgress=0, pending=0
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcControlServiceCollectionExtensionsTests.It_supplies_the_downstream_publication_history_provider_ahead_of_the_document_cache_default("mssql")
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcControlServiceCollectionExtensionsTests.It_supplies_the_downstream_publication_history_provider_ahead_of_the_document_cache_default("postgresql")
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcDownstreamPublicationHistoryProvider.It_keeps_the_administrative_gate_closed_on_a_matching_binding
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcDownstreamPublicationHistoryProvider.It_keeps_the_administrative_gate_closed_when_no_record_names_the_target
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcDownstreamPublicationHistoryProvider.It_keeps_the_gate_closed_when_the_source_is_unresolved_and_no_binding_matches
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcDownstreamPublicationHistoryProvider.It_matches_a_binding_recorded_under_a_different_tenant_key_casing
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcDownstreamPublicationHistoryProvider.It_matches_a_default_tenant_target_against_the_binding_tenant_token
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcDownstreamPublicationHistoryProvider.It_observes_nothing_once_cancellation_is_requested
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcDownstreamPublicationHistoryProvider.It_prefers_the_current_source_binding_over_an_earlier_generation
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcDownstreamPublicationHistoryProvider.It_rejects_a_missing_target_key
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcDownstreamPublicationHistoryProvider.It_reports_active_for_a_matching_binding_carrying_a_latched_incident
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcDownstreamPublicationHistoryProvider.It_reports_active_when_a_binding_matches_the_target_and_the_current_source
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcDownstreamPublicationHistoryProvider.It_reports_historical_for_a_matching_binding_when_the_source_is_unresolved
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcDownstreamPublicationHistoryProvider.It_reports_historical_when_a_binding_matches_the_target_under_another_source
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcDownstreamPublicationHistoryProvider.It_reports_historical_when_the_retired_binding_was_the_only_one
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcDownstreamPublicationHistoryProvider.It_reports_historical_when_the_targets_only_binding_was_retired
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcDownstreamPublicationHistoryProvider.It_reports_the_resolved_fingerprint_on_a_rejecting_observation
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcDownstreamPublicationHistoryProvider.It_reports_unknown_for_an_empty_store_whose_only_retirement_names_another_target
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcDownstreamPublicationHistoryProvider.It_reports_unknown_when_a_record_cannot_be_read_as_a_binding
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcDownstreamPublicationHistoryProvider.It_reports_unknown_when_no_deployment_key_is_configured
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcDownstreamPublicationHistoryProvider.It_reports_unknown_when_only_another_targets_binding_was_retired
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcDownstreamPublicationHistoryProvider.It_reports_unknown_when_only_another_tenant_binds_the_same_data_store_id
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcDownstreamPublicationHistoryProvider.It_reports_unknown_when_the_deployment_binds_only_other_targets
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcDownstreamPublicationHistoryProvider.It_reports_unknown_when_the_deployment_holds_no_bindings
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcDownstreamPublicationHistoryProvider.It_reports_unknown_when_the_deployment_key_is_blank("   ")
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcDownstreamPublicationHistoryProvider.It_reports_unknown_when_the_deployment_key_is_blank("")
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcDownstreamPublicationHistoryProvider.It_reports_unknown_when_the_retirement_records_cannot_be_listed
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcDownstreamPublicationHistoryProvider.It_reports_unknown_when_the_state_store_cannot_be_listed(InvalidOperation)
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcDownstreamPublicationHistoryProvider.It_reports_unknown_when_the_state_store_cannot_be_listed(StateStoreUnavailable)
