provider | command | fixture input | observed history (provider) | exit | status | classification | preserved DB/records | TRX assertions
mssql | activate-offline | active | Active | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
mssql | activate-offline | historical | Historical | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
mssql | activate-offline | mismatchedSource | Historical | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
mssql | activate-offline | mismatchedTarget | Unknown | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
mssql | activate-offline | missing | Unknown | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
mssql | activate-offline | unknown | Unknown | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
mssql | deactivate-offline | active | Active | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
mssql | deactivate-offline | historical | Historical | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
mssql | deactivate-offline | mismatchedSource | Historical | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
mssql | deactivate-offline | mismatchedTarget | Unknown | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
mssql | deactivate-offline | missing | Unknown | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
mssql | deactivate-offline | unknown | Unknown | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
mssql | recover-cache-ahead | active | Active | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
mssql | recover-cache-ahead | historical | Historical | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
mssql | recover-cache-ahead | mismatchedSource | Historical | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
mssql | recover-cache-ahead | mismatchedTarget | Unknown | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
mssql | recover-cache-ahead | missing | Unknown | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
mssql | recover-cache-ahead | unknown | Unknown | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
postgresql | activate-offline | active | Active | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
postgresql | activate-offline | historical | Historical | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
postgresql | activate-offline | mismatchedSource | Historical | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
postgresql | activate-offline | mismatchedTarget | Unknown | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
postgresql | activate-offline | missing | Unknown | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
postgresql | activate-offline | unknown | Unknown | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
postgresql | deactivate-offline | active | Active | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
postgresql | deactivate-offline | historical | Historical | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
postgresql | deactivate-offline | mismatchedSource | Historical | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
postgresql | deactivate-offline | mismatchedTarget | Unknown | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
postgresql | deactivate-offline | missing | Unknown | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
postgresql | deactivate-offline | unknown | Unknown | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
postgresql | recover-cache-ahead | active | Active | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
postgresql | recover-cache-ahead | historical | Historical | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
postgresql | recover-cache-ahead | mismatchedSource | Historical | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
postgresql | recover-cache-ahead | mismatchedTarget | Unknown | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
postgresql | recover-cache-ahead | missing | Unknown | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
postgresql | recover-cache-ahead | unknown | Unknown | 10 | rejectedNoMutation | downstreamHistoryPresentOrUnknown | unchanged | 4 passed
