operator-paths.trx
Counters: total=163, executed=163, passed=163, failed=0, error=0, timeout=0, aborted=0, inconclusive=0, passedButRunAborted=0, notRunnable=0, notExecuted=0, disconnected=0, warning=0, completed=0, inProgress=0, pending=0
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminCdcJsonContracts.It_preserves_success_without_readiness_through_the_cli_contract("restart",NotReady,"notReady")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminCdcJsonContracts.It_preserves_success_without_readiness_through_the_cli_contract("restart",Unknown,"unknown")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminCdcJsonContracts.It_preserves_success_without_readiness_through_the_cli_contract("stop",NotReady,"notReady")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminCdcJsonContracts.It_prints_the_governed_names_without_secrets_in_human_mode
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminCdcJsonContracts.It_reports_diagnostics_on_stderr_when_no_contract_was_produced_in_json_mode
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminCdcJsonContracts.It_round_trips_the_admission_contract_for_enable
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminCdcJsonContracts.It_round_trips_the_adoption_proof_for_adopt
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminCdcJsonContracts.It_round_trips_the_cleanup_proof_for_retire
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminCdcJsonContracts.It_round_trips_the_status_contract_for_status(NotReady,"notReady")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminCdcJsonContracts.It_round_trips_the_status_contract_for_status(Unknown,"unknown")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminCdcJsonContracts.It_writes_exactly_one_json_document_to_stdout
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminCdcShippedComposition.It_keeps_a_matchable_code_on_the_unresolved_instance_database_refusal
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminCdcShippedComposition.It_reports_a_cdc_status_contract_for_a_target_with_no_binding
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminCdcShippedComposition.It_resolves_the_instance_database_for_a_cdc_verb
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminMssqlRunbookWorkflows.It_corrects_disabled_lifecycle_prerequisite_status_before_activation
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminMssqlRunbookWorkflows.It_routes_cache_ahead_status_to_internal_recovery_and_preserves_evidence_when_history_is_unknown
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminMssqlRunbookWorkflows.It_routes_suspected_direct_mutation_to_scrub_and_reports_processing_backlog
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","activate-offline","active").It_keeps_json_on_stdout_and_secrets_out_of_both_streams
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","activate-offline","active").It_preserves_lifecycle_latch_and_database_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","activate-offline","active").It_preserves_the_durable_binding_and_retirement_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","activate-offline","active").It_reports_the_history_rejection_for_the_exact_target_and_source
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","activate-offline","historical").It_keeps_json_on_stdout_and_secrets_out_of_both_streams
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","activate-offline","historical").It_preserves_lifecycle_latch_and_database_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","activate-offline","historical").It_preserves_the_durable_binding_and_retirement_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","activate-offline","historical").It_reports_the_history_rejection_for_the_exact_target_and_source
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","activate-offline","mismatchedSource").It_keeps_json_on_stdout_and_secrets_out_of_both_streams
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","activate-offline","mismatchedSource").It_preserves_lifecycle_latch_and_database_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","activate-offline","mismatchedSource").It_preserves_the_durable_binding_and_retirement_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","activate-offline","mismatchedSource").It_reports_the_history_rejection_for_the_exact_target_and_source
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","activate-offline","mismatchedTarget").It_keeps_json_on_stdout_and_secrets_out_of_both_streams
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","activate-offline","mismatchedTarget").It_preserves_lifecycle_latch_and_database_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","activate-offline","mismatchedTarget").It_preserves_the_durable_binding_and_retirement_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminPackagedHistoryRejections("mssql","activate-offline","mismatchedTarget").It_reports_the_history_rejection_for_the_exact_target_and_source
