Counters: {"executed": "34", "failed": "0", "notExecuted": "0", "passed": "34", "total": "34"}
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminCdcJsonContracts.It_emits_no_adoption_proof_when_live_verification_is_refused
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminCdcJsonContracts.It_preserves_replacement_admission_and_interruption_in_the_cli_output(Admitted,0,"admitted")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminCdcJsonContracts.It_preserves_replacement_admission_and_interruption_in_the_cli_output(Unknown,12,"unknown")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminCdcJsonContracts.It_preserves_success_without_readiness_through_the_cli_contract("restart",NotReady,"notReady")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminCdcJsonContracts.It_preserves_success_without_readiness_through_the_cli_contract("restart",Unknown,"unknown")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminCdcJsonContracts.It_preserves_success_without_readiness_through_the_cli_contract("stop",NotReady,"notReady")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminCdcJsonContracts.It_prints_the_governed_names_without_secrets_in_human_mode
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminCdcJsonContracts.It_reports_diagnostics_on_stderr_when_no_contract_was_produced_in_json_mode
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminCdcJsonContracts.It_round_trips_the_admission_contract_for_enable
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminCdcJsonContracts.It_round_trips_the_adoption_proof_for_adopt
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminCdcJsonContracts.It_round_trips_the_cleanup_proof_for_retire
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminCdcJsonContracts.It_round_trips_the_status_contract_for_status(NotReady,"notReady")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminCdcJsonContracts.It_round_trips_the_status_contract_for_status(Unknown,"unknown")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminCdcJsonContracts.It_writes_exactly_one_json_document_to_stdout
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminCdcShippedComposition.It_requires_the_cli_default_tenant_translation_for_a_cdc_target("")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminCdcShippedComposition.It_requires_the_cli_default_tenant_translation_for_a_cdc_target("default")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminSourceReplacementRejections("mssql","missingWriteAdmission").It_keeps_credentials_out_of_operator_output
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminSourceReplacementRejections("mssql","missingWriteAdmission").It_preserves_the_original_generation_identity_and_lifecycle
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminSourceReplacementRejections("mssql","missingWriteAdmission").It_reports_the_refusal_and_exit_code_without_a_success_proof
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminSourceReplacementRejections("mssql","nonAdvancingGeneration").It_keeps_credentials_out_of_operator_output
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminSourceReplacementRejections("mssql","nonAdvancingGeneration").It_preserves_the_original_generation_identity_and_lifecycle
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminSourceReplacementRejections("mssql","nonAdvancingGeneration").It_reports_the_refusal_and_exit_code_without_a_success_proof
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminSourceReplacementRejections("mssql","unrotatedIdentity").It_keeps_credentials_out_of_operator_output
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminSourceReplacementRejections("mssql","unrotatedIdentity").It_preserves_the_original_generation_identity_and_lifecycle
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminSourceReplacementRejections("mssql","unrotatedIdentity").It_reports_the_refusal_and_exit_code_without_a_success_proof
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Integration.Given_DocumentCacheAdminSourceReplacementRejections("postgresql","missingWriteAdmission").It_keeps_credentials_out_of_operator_output
