Counters: {"executed": "68", "failed": "0", "notExecuted": "0", "passed": "68", "total": "68"}
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerAdoption.It_adopts_when_the_only_other_binding_is_an_earlier_generation_of_this_target
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerAdoption.It_changes_nothing_when_a_live_verification_does_not_match
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerAdoption.It_imports_the_supplied_binding_record_when_every_verification_is_an_exact_match
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerAdoption.It_provisions_nothing_while_verifying
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerAdoption.It_refuses_a_binding_whose_record_size_budget_the_broker_does_not_admit
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerAdoption.It_refuses_a_connector_that_is_not_running_its_single_task("FAILED","FAILED")
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerAdoption.It_refuses_a_connector_that_is_not_running_its_single_task("PAUSED","PAUSED")
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerAdoption.It_refuses_a_connector_that_is_not_running_its_single_task("PAUSED","RUNNING")
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerAdoption.It_refuses_a_connector_that_is_not_running_its_single_task("RUNNING","FAILED")
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerAdoption.It_refuses_a_connector_that_is_not_running_its_single_task("STOPPED","STOPPED")
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerAdoption.It_refuses_a_lost_source_history_without_latching_an_incident
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerAdoption.It_refuses_a_nonconforming_shared_connect_offset_store(Invalid,Satisfied)
