Counters: {"aborted": "0", "completed": "0", "disconnected": "0", "error": "0", "executed": "151", "failed": "0", "inProgress": "0", "inconclusive": "0", "notExecuted": "0", "notRunnable": "0", "passed": "151", "passedButRunAborted": "0", "pending": "0", "timeout": "0", "total": "151", "warning": "0"}
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandDispatcher.It_adopts_under_the_operator_supplied_binding_record
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandDispatcher.It_carries_the_operator_s_connector_already_absent_assertion_to_the_controller
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandDispatcher.It_derives_the_provider_setup_inputs_for_the_registered_provider
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandDispatcher.It_does_not_correct_an_unrecognized_evidence_token
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandDispatcher.It_does_not_publish_the_data_store_load_failure_message
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandDispatcher.It_enables_with_the_operator_evidence_verbatim
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandDispatcher.It_loads_the_data_stores_before_it_reads_the_instance_database
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandDispatcher.It_loads_the_same_tenant_it_reads_the_instance_database_for
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandDispatcher.It_maps_status_and_restart_to_their_own_controller_operations
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandDispatcher.It_never_reports_the_instance_connection_string
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandDispatcher.It_publishes_no_source_connection_value_in_a_refusal
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandDispatcher.It_refuses_a_retirement_whose_named_source_connection_variable_is_unset
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandDispatcher.It_refuses_a_source_replacement_that_names_no_superseded_generation
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandDispatcher.It_refuses_an_adoption_whose_binding_record_is_not_a_readable_contract
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandDispatcher.It_refuses_an_adoption_with_no_binding_record_at_all
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandDispatcher.It_refuses_before_reaching_the_controller_when_the_data_stores_cannot_be_loaded
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandDispatcher.It_refuses_before_reaching_the_controller_when_the_instance_database_is_unresolved
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandDispatcher.It_refuses_before_reaching_the_controller_when_the_provider_setup_inputs_are_unavailable
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandDispatcher.It_rejects_a_command_name_that_is_not_a_cdc_verb
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandDispatcher.It_replaces_a_source_with_the_operator_s_superseded_generation
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandDispatcher.It_reports_a_fence_that_did_not_apply_as_rejected_before_mutation
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandDispatcher.It_reports_a_partial_retirement_as_incomplete_and_retryable
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandDispatcher.It_reports_a_restart_that_started_nothing_as_rejected_before_mutation
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandDispatcher.It_reports_a_retirement_refused_before_any_mutation_as_rejected
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandDispatcher.It_reports_an_applied_fence_as_successful_though_a_fenced_target_is_not_ready
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandDispatcher.It_reports_an_applied_restart_as_successful
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandDispatcher.It_reports_an_unadmitted_enablement_as_incomplete_and_retryable
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandDispatcher.It_reports_the_governed_names_derived_from_the_configured_artifact_identity
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandDispatcher.It_reports_the_governed_names_of_the_adopted_binding_rather_than_the_configured_identity
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandDispatcher.It_retires_against_a_named_source_connection_while_the_data_stores_are_unreachable
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandDispatcher.It_retires_against_the_source_connection_the_named_environment_variable_holds
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandRequests.It_builds_the_adopt_request_from_the_loaded_binding_record
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandRequests.It_builds_the_enable_request_from_its_provisioning_evidence
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandRequests.It_builds_the_replace_source_request_with_the_generation_being_replaced
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandRequests.It_builds_the_retire_request_carrying_the_connector_absence_assertion
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandRequests.It_builds_the_retire_request_carrying_the_source_connection_variable_name
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandRequests.It_leaves_the_connector_absence_assertion_unmade_when_retire_omits_the_flag
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandRequests.It_leaves_the_source_connection_variable_unnamed_when_retire_omits_the_option
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandRequests.It_reads_the_verb_scoped_options_on_a_verb_that_does_not_declare_them("adopt")
