Counters: {"aborted": "0", "completed": "0", "disconnected": "0", "error": "0", "executed": "32", "failed": "0", "inProgress": "0", "inconclusive": "0", "notExecuted": "0", "notRunnable": "0", "passed": "32", "passedButRunAborted": "0", "pending": "0", "timeout": "0", "total": "32", "warning": "0"}
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcKafkaTeardown.It_deletes_every_governed_postgresql_artifact
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcKafkaTeardown.It_deletes_the_sql_server_schema_history_artifacts_as_well
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcKafkaTeardown.It_keeps_every_evidence_summary_free_of_the_topic_identity
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcKafkaTeardown.It_never_touches_the_shared_connect_offset_store
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcKafkaTeardown.It_propagates_a_broker_failure_rather_than_reporting_removal
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcKafkaTeardown.It_refuses_a_binding_topic_that_resolves_to_the_shared_offset_store
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcKafkaTeardown.It_removes_grants_before_the_topic_they_protect
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcKafkaTeardown.It_removes_only_literal_grants_on_the_governed_topic
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcKafkaTeardown.It_reports_absent_grants_as_not_found
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcKafkaTeardown.It_reports_an_absent_topic_as_not_found
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcKafkaTeardown.It_reports_grants_as_not_found_when_the_deployment_has_no_authorizer
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcKafkaTeardown.It_reports_no_schema_history_artifacts_for_postgresql
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcKafkaTeardown.It_tolerates_a_topic_deleted_concurrently
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcProviderArtifactTeardown.It_disables_every_sql_server_capture_instance_against_its_own_source_table
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcProviderArtifactTeardown.It_drops_the_postgresql_publication_and_logical_slot_it_observed
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcProviderArtifactTeardown.It_propagates_a_provider_failure_rather_than_reporting_a_removal
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcProviderArtifactTeardown.It_refuses_a_capture_instance_whose_source_table_was_not_supplied
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcProviderArtifactTeardown.It_reports_absent_postgresql_artifacts_without_issuing_a_drop
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcProviderArtifactTeardown.It_reports_absent_sql_server_artifacts_without_disabling_anything
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcProviderArtifactTeardown.It_reports_the_capture_instances_absent_when_the_database_has_no_cdc_schema
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRetirement.It_leaves_the_binding_record_intact_when_the_connector_could_not_be_removed
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRetirement.It_leaves_the_binding_record_intact_when_the_governed_topics_could_not_be_removed
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRetirement.It_leaves_the_binding_record_intact_when_the_provider_artifacts_could_not_be_removed
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRetirement.It_names_every_governed_artifact_of_the_binding_in_the_proof
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRetirement.It_never_touches_or_names_the_shared_connect_offset_store
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRetirement.It_refuses_a_binding_recorded_under_another_provider_before_any_mutation
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRetirement.It_refuses_a_retirement_whose_connector_the_worker_no_longer_has
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRetirement.It_refuses_a_target_with_no_durable_binding_record
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRetirement.It_refuses_to_retire_a_generation_bound_to_another_physical_source
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRetirement.It_removes_every_governed_artifact_in_the_required_order
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRetirement.It_retires_a_sql_server_generation_including_its_schema_history_topic
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRetirement.It_retires_an_acknowledged_absent_connector_on_the_operator_s_own_assertion
