Final run; exit 0
{'total': '24', 'executed': '24', 'passed': '24', 'failed': '0', 'error': '0', 'timeout': '0', 'aborted': '0', 'inconclusive': '0', 'passedButRunAborted': '0', 'notRunnable': '0', 'notExecuted': '0', 'disconnected': '0', 'warning': '0', 'completed': '0', 'inProgress': '0', 'pending': '0'}
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Integration.Given_CdcControlBrokerBackedStack.It_accepts_a_record_size_budget_the_broker_limits_admit
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Integration.Given_CdcControlBrokerBackedStack.It_adopts_only_the_complete_binding_that_matches_the_live_streaming_stack
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Integration.Given_CdcControlBrokerBackedStack.It_creates_the_binding_topics_with_the_explicit_policy_values_the_broker_reports_back
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Integration.Given_CdcControlBrokerBackedStack.It_deletes_exactly_the_binding_governed_artifacts_and_leaves_the_shared_offset_store
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Integration.Given_CdcControlBrokerBackedStack.It_fails_closed_when_an_instance_consumer_can_read_another_instances_topic
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Integration.Given_CdcControlBrokerBackedStack.It_fails_closed_when_an_instance_consumer_can_read_the_progress_topic
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Integration.Given_CdcControlBrokerBackedStack.It_fails_closed_when_the_offset_store_carries_a_grant_beyond_the_connect_worker
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Integration.Given_CdcControlBrokerBackedStack.It_fails_closed_when_the_offset_store_is_covered_by_an_over_broad_topic_pattern
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Integration.Given_CdcControlBrokerBackedStack.It_observes_provider_heartbeat_progress_and_the_committed_source_offsets
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Integration.Given_CdcControlBrokerBackedStack.It_preserves_the_live_generation_when_replacement_lacks_provisioning_evidence
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Integration.Given_CdcControlBrokerBackedStack.It_provisions_and_verifies_the_binding_grants_against_a_real_authorizer
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Integration.Given_CdcControlBrokerBackedStack.It_reads_back_the_live_connector_configuration_the_worker_holds
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Integration.Given_CdcControlBrokerBackedStack.It_reads_the_debezium_source_lag_current_value_and_every_quantile_over_jolokia
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Integration.Given_CdcControlBrokerBackedStack.It_rejects_a_budget_the_broker_replica_fetch_limits_cannot_carry
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Integration.Given_CdcControlBrokerBackedStack.It_rejects_a_worker_created_offset_store_that_inherits_its_durability_from_the_broker
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Integration.Given_CdcControlBrokerBackedStack.It_reports_a_budget_the_effective_message_limit_does_not_cover_as_unknown
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Integration.Given_CdcControlBrokerBackedStack.It_reports_the_shared_connect_offset_store_as_compacted_durable_and_worker_only
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Integration.Given_CdcControlBrokerBackedStack.It_requires_a_stopped_connector_before_its_committed_offsets_can_be_deleted
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Integration.Given_CdcControlBrokerBackedStack.It_restarts_the_running_connector_and_returns_it_to_running
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Integration.Given_CdcControlBrokerBackedStack.It_validates_conforming_binding_topics_idempotently_without_recreating_them
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Integration.Given_CdcControlBrokerBackedStack.It_validates_the_rendered_connector_against_the_pinned_plugin_and_registers_it
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Integration.Given_CdcControlRetirementOperator("neverRegistered").It_preserves_retry_authority_until_governed_cleanup_is_proved
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Integration.Given_CdcControlRetirementOperator("providerTimeout").It_preserves_retry_authority_until_governed_cleanup_is_proved
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Integration.Given_CdcControlRetirementOperator("registered").It_preserves_retry_authority_until_governed_cleanup_is_proved
