provider,scenario_id,family,variant,phase,page_size,offset,cursor_range,start_anchor_document_id,requested_partition_number,returned_rows,returned_token_count,command_count_per_request,warmup_iterations,measured_iterations,p50_ms,p95_ms,mean_ms,min_ms,max_ms,driver_execute_p50_ms,driver_execute_p95_ms,driver_execute_mean_ms,driver_execute_min_ms,driver_execute_max_ms,db_execution_ms,db_cpu_ms,db_elapsed_ms,db_logical_reads,db_physical_reads,db_buffers_hit,db_buffers_read,plan_file,selection_sql_sha256,replay_parameter_source,runner_commit,subject_commit
mssql,traditional-offset-zero,traditional,unfiltered,pristine,25,0,,,,25,,1,10,60,11.476,16.587,12.269,9.145,30.860,4.784,6.356,4.954,3.745,10.089,,9.000,6.000,1450,0,,,plans/mssql.traditional-offset-zero.25.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,hydration-keyset,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,traditional-offset-zero,traditional,unfiltered,pristine,500,0,,,,500,,1,10,60,47.522,59.736,48.564,40.648,66.452,7.737,9.018,7.806,6.573,10.283,,32.000,29.000,28160,0,,,plans/mssql.traditional-offset-zero.500.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,hydration-keyset,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,traditional-offset-shallow,traditional,unfiltered,pristine,25,25,,,,25,,1,10,60,10.136,12.680,10.346,8.020,14.288,4.946,6.142,5.067,4.036,7.933,,7.000,2.000,1472,0,,,plans/mssql.traditional-offset-shallow.25.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,hydration-keyset,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,traditional-offset-shallow,traditional,unfiltered,pristine,500,500,,,,500,,1,10,60,41.205,52.379,43.406,35.158,91.835,7.861,9.203,8.115,6.728,16.921,,28.000,25.000,28182,0,,,plans/mssql.traditional-offset-shallow.500.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,hydration-keyset,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,traditional-offset-deep,traditional,unfiltered,pristine,25,450000,,,,25,,1,10,60,173.288,216.344,178.477,159.081,228.221,166.957,210.837,173.775,155.246,222.752,,169.000,165.000,10878,0,,,plans/mssql.traditional-offset-deep.25.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,hydration-keyset,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,traditional-offset-deep,traditional,unfiltered,pristine,500,450000,,,,500,,1,10,60,185.377,218.762,189.814,174.034,226.244,158.522,180.997,161.105,149.364,194.883,,201.000,199.000,37575,0,,,plans/mssql.traditional-offset-deep.500.plans.json,3e70ff4719381feb5a49893b4adcfc38ce23d5971f677dc38aba839f063e3dbe,hydration-keyset,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,cursor-unfiltered-first,cursor,unfiltered,pristine,25,,first,2,,25,,1,10,60,7.136,8.780,7.079,5.517,10.432,3.438,4.583,3.599,2.752,5.003,,11.000,4.000,1450,0,,,plans/mssql.cursor-unfiltered-first.25.plans.json,a2016455ba7b9091ab49e42ece9d9dfc7544bd5c6f02e0d5ccd99d3cac9a213e,hydration-keyset,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,cursor-unfiltered-first,cursor,unfiltered,pristine,500,,first,2,,500,,1,10,60,34.717,39.104,34.848,29.333,50.951,6.880,7.936,6.961,5.629,9.148,,27.000,24.000,28160,0,,,plans/mssql.cursor-unfiltered-first.500.plans.json,a2016455ba7b9091ab49e42ece9d9dfc7544bd5c6f02e0d5ccd99d3cac9a213e,hydration-keyset,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,cursor-unfiltered-middle,cursor,unfiltered,pristine,25,,middle,277765,,25,,1,10,60,6.631,8.167,6.697,4.931,8.825,3.509,4.501,3.554,2.648,4.957,,8.000,2.000,1450,0,,,plans/mssql.cursor-unfiltered-middle.25.plans.json,a2016455ba7b9091ab49e42ece9d9dfc7544bd5c6f02e0d5ccd99d3cac9a213e,hydration-keyset,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,cursor-unfiltered-middle,cursor,unfiltered,pristine,500,,middle,277502,,500,,1,10,60,36.117,42.605,36.503,30.492,51.653,6.954,8.077,7.021,5.785,8.864,,29.000,27.000,28164,0,,,plans/mssql.cursor-unfiltered-middle.500.plans.json,a2016455ba7b9091ab49e42ece9d9dfc7544bd5c6f02e0d5ccd99d3cac9a213e,hydration-keyset,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,cursor-unfiltered-last,cursor,unfiltered,pristine,25,,last,555529,,25,,1,10,60,6.601,8.708,6.802,5.174,9.976,3.517,4.729,3.593,2.543,5.526,,8.000,2.000,1448,0,,,plans/mssql.cursor-unfiltered-last.25.plans.json,a2016455ba7b9091ab49e42ece9d9dfc7544bd5c6f02e0d5ccd99d3cac9a213e,hydration-keyset,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,cursor-unfiltered-last,cursor,unfiltered,pristine,500,,last,555002,,500,,1,10,60,34.273,39.582,34.991,30.420,52.447,6.613,7.580,6.679,5.232,8.034,,27.000,23.000,28141,0,,,plans/mssql.cursor-unfiltered-last.500.plans.json,a2016455ba7b9091ab49e42ece9d9dfc7544bd5c6f02e0d5ccd99d3cac9a213e,hydration-keyset,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,partition-unfiltered-1,partition,unfiltered,pristine,,,,,1,,1,1,10,60,60.150,71.609,61.235,47.397,89.566,58.289,69.801,59.496,45.663,87.744,,418.000,57.000,1443,0,,,plans/mssql.partition-unfiltered-1.1.plans.json,e44955fc9c769b40656090116e67ad8d386d10b2fb4a8c6b7afd3fa09ff635b5,relational-command,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,partition-unfiltered-10,partition,unfiltered,pristine,,,,,10,,10,1,10,60,55.506,62.435,56.362,48.027,75.234,53.601,61.045,54.628,46.511,73.648,,450.000,60.000,1443,0,,,plans/mssql.partition-unfiltered-10.10.plans.json,e44955fc9c769b40656090116e67ad8d386d10b2fb4a8c6b7afd3fa09ff635b5,relational-command,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,partition-unfiltered-200,partition,unfiltered,pristine,,,,,200,,200,1,10,60,48.211,56.959,49.459,42.382,70.832,46.297,55.181,47.734,41.079,68.703,,340.000,45.000,1443,0,,,plans/mssql.partition-unfiltered-200.200.plans.json,e44955fc9c769b40656090116e67ad8d386d10b2fb4a8c6b7afd3fa09ff635b5,relational-command,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,cursor-authorized-first,cursor,authorized,authorized-seeded,25,,first,3,,25,,1,10,60,8.481,10.947,8.763,6.562,16.714,4.450,5.801,4.574,3.288,6.821,,12.000,7.000,1614,0,,,plans/mssql.cursor-authorized-first.25.plans.json,61416fe2c5382b9c95128b097f1c62638749db8e3966f90dd24f608a1552d3a6,hydration-keyset,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,cursor-authorized-first,cursor,authorized,authorized-seeded,500,,first,3,,500,,1,10,60,39.683,44.370,39.465,32.756,47.253,9.639,11.206,9.786,8.471,14.343,,31.000,28.000,30725,0,,,plans/mssql.cursor-authorized-first.500.plans.json,61416fe2c5382b9c95128b097f1c62638749db8e3966f90dd24f608a1552d3a6,hydration-keyset,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,cursor-authorized-middle,cursor,authorized,authorized-seeded,25,,middle,277752,,25,,1,10,60,7.505,9.878,7.713,5.970,10.342,4.080,5.682,4.203,3.242,7.029,,12.000,8.000,1614,0,,,plans/mssql.cursor-authorized-middle.25.plans.json,61416fe2c5382b9c95128b097f1c62638749db8e3966f90dd24f608a1552d3a6,hydration-keyset,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,cursor-authorized-middle,cursor,authorized,authorized-seeded,500,,middle,277225,,500,,1,10,60,38.989,44.940,39.388,33.191,69.743,9.459,10.769,9.567,8.423,12.108,,31.000,29.000,30733,0,,,plans/mssql.cursor-authorized-middle.500.plans.json,61416fe2c5382b9c95128b097f1c62638749db8e3966f90dd24f608a1552d3a6,hydration-keyset,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,cursor-authorized-last,cursor,authorized,authorized-seeded,25,,last,555503,,25,,1,10,60,6.549,8.411,6.859,5.639,9.814,3.456,4.632,3.628,2.940,5.434,,9.000,5.000,1586,0,,,plans/mssql.cursor-authorized-last.25.plans.json,61416fe2c5382b9c95128b097f1c62638749db8e3966f90dd24f608a1552d3a6,hydration-keyset,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,cursor-authorized-last,cursor,authorized,authorized-seeded,500,,last,554447,,500,,1,10,60,37.356,44.133,38.781,32.695,71.046,9.274,10.938,9.389,8.064,11.418,,30.000,29.000,30702,0,,,plans/mssql.cursor-authorized-last.500.plans.json,61416fe2c5382b9c95128b097f1c62638749db8e3966f90dd24f608a1552d3a6,hydration-keyset,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,partition-authorized-10,partition,authorized,authorized-seeded,,,,,10,,10,1,10,60,66.947,164.104,88.042,58.092,182.172,65.094,161.942,86.092,56.385,180.246,,389.000,65.000,2434,0,,,plans/mssql.partition-authorized-10.10.plans.json,4f87ac25af0f9fc8d9010ad9b21aeee82b3293c19b9fea57a95d4e08583fdc5a,relational-command,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,cursor-filtered-first,cursor,filtered,filtered-overlay,25,,first,12,,25,,1,10,60,8.925,10.642,9.010,7.128,15.969,4.788,6.227,4.931,3.891,6.777,,9.000,5.000,1476,0,,,plans/mssql.cursor-filtered-first.25.plans.json,0c6352e07accc1f9c739c2931267455d0a8b7ee2c442491b4ffa3c645d115420,hydration-keyset,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,cursor-filtered-first,cursor,filtered,filtered-overlay,500,,first,12,,500,,1,10,60,41.419,47.261,42.398,34.409,90.596,9.511,10.539,9.469,8.108,11.077,,33.000,30.000,28258,0,,,plans/mssql.cursor-filtered-first.500.plans.json,0c6352e07accc1f9c739c2931267455d0a8b7ee2c442491b4ffa3c645d115420,hydration-keyset,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,cursor-filtered-middle,cursor,filtered,filtered-overlay,25,,middle,277645,,25,,1,10,60,8.352,10.315,8.606,6.816,11.122,4.798,6.005,4.821,3.531,6.461,,10.000,4.000,1476,0,,,plans/mssql.cursor-filtered-middle.25.plans.json,0c6352e07accc1f9c739c2931267455d0a8b7ee2c442491b4ffa3c645d115420,hydration-keyset,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,cursor-filtered-middle,cursor,filtered,filtered-overlay,500,,middle,275012,,500,,1,10,60,38.779,48.588,41.803,33.356,121.565,9.086,10.418,9.236,7.653,12.247,,32.000,28.000,28265,0,,,plans/mssql.cursor-filtered-middle.500.plans.json,0c6352e07accc1f9c739c2931267455d0a8b7ee2c442491b4ffa3c645d115420,hydration-keyset,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,cursor-filtered-last,cursor,filtered,filtered-overlay,25,,last,555289,,25,,1,10,60,6.888,9.342,7.224,5.384,12.737,3.648,4.935,3.804,2.586,9.637,,8.000,3.000,1453,0,,,plans/mssql.cursor-filtered-last.25.plans.json,0c6352e07accc1f9c739c2931267455d0a8b7ee2c442491b4ffa3c645d115420,hydration-keyset,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,cursor-filtered-last,cursor,filtered,filtered-overlay,500,,last,550012,,500,,1,10,60,37.276,41.556,39.143,32.964,141.033,8.669,9.950,8.787,7.285,10.430,,34.000,31.000,28233,0,,,plans/mssql.cursor-filtered-last.500.plans.json,0c6352e07accc1f9c739c2931267455d0a8b7ee2c442491b4ffa3c645d115420,hydration-keyset,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
mssql,partition-filtered-10,partition,filtered,filtered-overlay,,,,,10,,10,1,10,60,105.135,121.555,107.239,96.205,130.645,103.549,119.135,105.424,94.494,128.835,,221.000,117.000,112437,0,,,plans/mssql.partition-filtered-10.10.plans.json,8baa7df22f88a98a0b05d73bc66839be11c74b4eaf7b6d6bcc7c5eed26d4eba9,relational-command,675dafe1cf0d3840d75ea58ef91c19d2243941a3,675dafe1cf0d3840d75ea58ef91c19d2243941a3
